playfield,id,name,type,faction,blocks,devices,pos,rot,core,powered,docked,touched_time,touched_ticks,touched_name,touched_id,saved_time,saved_ticks,add_info
Trader Outpost,1293,'White Dart',SV,[Private 1017]          ,151,46,-1217.817 116.8659 -169.2658,2.891361 276.6455 359.6806,True,False,False,5/25/2020 9:40:43 AM,708189,'dmytro.cheva',76561198412322587,5/25/2020 9:42:43 AM,710576,
Trader Outpost,1293,'White Dart',SV,[Private 1017]          ,151,46,-1217.817 116.8659 -169.2658,2.891361 276.6455 359.6806,True,False,False,5/25/2020 9:40:43 AM,708189,'dmytro.cheva',76561198412322587,5/25/2020 9:46:35 AM,715191,
Trader Outpost,1293,'White Dart',SV,[Private 1017]          ,145,48,1187.911 1101.307 748.8616,271.1133 58.80111 32.07747,True,True,False,5/25/2020 10:28:55 AM,765982,'dmytro.cheva',76561198412322587,5/25/2020 10:28:55 AM,765982,
Taldor Galaxy,1293,'White Dart',SV,[Private 1017]          ,145,48,-7402.056 6339.711 7340.558,284.8884 347.591 21.43512,True,True,False,5/25/2020 10:32:12 AM,769914,'dmytro.cheva',76561198412322587,5/25/2020 10:32:12 AM,769914,
Trader Outpost,1293,'White Dart',SV,[Private 1017]          ,145,48,1251.486 1102.156 614.0063,275.1285 162.1507 168.1157,True,True,False,5/25/2020 10:36:43 AM,775333,'dmytro.cheva',76561198412322587,5/25/2020 10:36:43 AM,775333,
Taldor Galaxy,1293,'White Dart',SV,[Private 1017]          ,145,48,-139.6162 1886.069 -1025.593,74.06222 274.3689 282.5754,True,True,False,5/25/2020 10:39:17 AM,778414,'dmytro.cheva',76561198412322587,5/25/2020 10:39:17 AM,778414,
Taldor,1293,'White Dart',SV,[Private 1017]          ,145,48,-2043.014 78.48322 3499.281,-0.0002099333 271.5668 -0.0009230096,True,True,False,5/25/2020 10:41:37 AM,781179,'dmytro.cheva',76561198412322587,5/25/2020 10:48:21 AM,789251,
Taldor,1293,'White Dart',SV,[Private 1017]          ,145,48,4526.878 154.6939 1380.725,23.73499 296.0764 356.2629,True,True,False,5/25/2020 11:19:50 AM,827003,'dmytro.cheva',76561198412322587,5/25/2020 11:19:50 AM,827004,
Taldor,1293,'White Dart',SV,[Private 1017]          ,145,48,4451.069 156.3394 1417.232,4.45036 269.4776 3.487128,True,True,False,5/25/2020 11:21:11 AM,828605,'dmytro.cheva',76561198412322587,5/25/2020 11:21:11 AM,828605,
Taldor,1293,'White Dart',SV,[Private 1017]          ,144,48,-1943.202 1100.864 3463.24,274.1273 2.18554 59.35497,True,True,False,5/25/2020 11:58:46 AM,873656,'dmytro.cheva',76561198412322587,5/25/2020 11:58:46 AM,873656,
Taldor Galaxy,1293,'White Dart',SV,[Private 1017]          ,144,48,-6621.684 7017.861 6890.241,345.5652 316.148 68.15987,True,True,False,5/25/2020 12:00:44 PM,876005,'dmytro.cheva',76561198412322587,5/25/2020 12:00:44 PM,876005,
Trader Outpost,1293,'White Dart',SV,[Private 1017]          ,144,48,1240.133 56.54584 692.2843,1.386666 67.88872 6.328425,True,True,False,5/25/2020 12:42:15 PM,925782,'dmytro.cheva',76561198412322587,5/25/2020 12:42:15 PM,925782,
Trader Outpost,1293,'White Dart',SV,[Private 1017]          ,144,48,1165.16 1100.871 716.1611,276.1435 265.5857 152.4844,True,True,False,5/25/2020 12:42:40 PM,926270,'dmytro.cheva',76561198412322587,5/25/2020 12:42:40 PM,926270,
Taldor Galaxy,1293,'White Dart',SV,[Private 1017]          ,144,48,-499.3517 2086.38 197.6646,48.60818 262.1541 327.8126,True,True,False,5/25/2020 12:46:34 PM,930929,'dmytro.cheva',76561198412322587,5/25/2020 12:46:34 PM,930929,
Taldor,1293,'White Dart',SV,[Private 1017]          ,144,48,-899.137 1100.973 -2390.666,271.8388 10.37412 234.6057,True,True,False,5/25/2020 1:05:27 PM,953576,'dmytro.cheva',76561198412322587,5/25/2020 1:05:28 PM,953576,
