name	file	type	size	planetsize	y_scale	yoffset	b-yoffset	inverted	smooth	operation
										
# Mountain Stamps:	--------------------------- 									
Mountain_1	Mountain_1	raw	300, 300	3,4,5	0.7, 0.75	-40	25	false	0	max
Mountain_2	Mountain_2	raw	300, 250	2,3,4,5	0.9, 1.0	-220	0	false	0	max
Mountain_2b	Mountain_2b	raw	600, 500	2,3,4,5	0.9, 1.0	-260	10	false	0	max
Mountain_3	Mountain_3	raw	300, 250	2,3,4,5	0.5, 0.5	-90	10	false	2	max
Mountain_3b	Mountain_3b	raw	600, 500	2,3,4,5	0.5, 0.5	-90	10	false	3	max
Mountain_4a	Mountain_4a	raw	300, 250	2,3,4,5	0.3, 0.5	-220	60	false	0	max
Mountain_4b	Mountain_4b	raw	600, 500	2,3,4,5	0.4, 0.5	-220	60	false	1	max
Mountain_5	Mountain_5	raw	560, 326	2,3,4,5	1.0, 1.3	-180	30	false	0	max
Mountain_6	Mountain_6	raw	540,326	2,3,4,5	0.7, 0.9	-250	20	false	0	max
Mountain_9	Mountain_9	png	300, 300	3,4,5	0.9, 1	-40	55	false	3	max
Mountain_10	Mountain_10	png	300, 300	3,4,5	0.9, 1	-80	0	false	3	max
Mountain_10b	Mountain_10b	png	900, 900	4,5	1, 1.2	-130	0	false	3	max
Mountain_11	Mountain_11	png	300, 300	3,4,5	0.9, 1	-40	45	false	3	max
Mountain_12	Mountain_12	png	300, 300	3,4,5	0.9, 1	-40	35	false	3	max
Mountain_13	Mountain_13	png	300, 300	3,4,5	0.9, 1	-40	15	false	3	max
Mountain_14	Mountain_14	png	300, 300	3,4,5	0.9, 1	-40	20	false	3	max
Mountain_14a	Mountain_14a	png	150, 150	2,3	0.6, 0.9	-40	25	false	3	max
Mountain_15	Mountain_15	png	300, 300	3,4,5	0.9, 1	-40	45	false	3	max
Mountain_15a	Mountain_15a	png	150, 150	2,3	0.6, 0.9	-40	25	false	3	max
Mountain_19	Mountain_19	png	300, 300	3,4,5	0.9, 1	-40	25	false	3	max
Mountain_20	Mountain_20	png	300, 300	3,4,5	0.9, 1	-40	25	false	3	max
Mountain_23_R	Mountain_23_R	png	600, 600	4,5	1.0, 1.2	-230	45	false	2	max
Mountain_23	Mountain_23	png	600, 600	4,5	0.9, 1	-40	45	false	3	max
MountainSharp_01	MountainSharp_01	raw	55, 55	2,3,4,5	0.2, 0.35	-100	10	false	1	max
Hill_1	Hill_1	png	300, 300	3,4,5	0.75, 1	-40	40	false	1	max
Hill_2	Hill_2	png	300, 300	3,4,5	0.75, 1	-40	40	false	1	max
Hill_3	Hill_3	png	300, 300	3,4,5	0.75, 1	-40	40	false	1	max
# (...duplicates: Mountains)	------									
# (...add)	--									
Mountain_10_ADD	Mountain_10	png	300, 300	3,4,5	0.2, 0.34	-80	0	false	2	add
# (... high biome)	--									
Mountain_10_BM	Mountain_10	png	300, 300	2,3,4,5	0.5, 1	-80	100	false	3	max
Mountain_11_BM	Mountain_11	png	300, 300	2,3,4,5	0.5, 1	-80	100	false	3	max
# Arid & Desert shapes	--------------------------- 									
# (peak)	------									
MountainDesert_01	MountainDesert_01	raw	300, 300	2,3,4,5	0.3, 0.7	-130	10	false	0	max
MountainDesert_02	MountainDesert_02	raw	300, 200	2,3,4,5	0.3, 0.7	-130	10	false	0	max
MountainDesert_03	MountainDesert_03	raw	150, 100	2,3,4,5	0.2, 0.7	-150	10	false	0	max
MountainDesert_04	MountainDesert_04	raw	100, 100	2,3,4,5	0.2, 0.8	-160	30	false	0	max
# (plateau)	------									
MountainPlateau_01	MountainPlateau_01	raw	240, 230	2,3,4,5	0.40, 0.49	-30	10	false	0	add
MountainPlateau_02	MountainPlateau_02	raw	375, 250	2,3,4,5	0.3, 0.49	-45	10	false	0	add
MountainPlateau_03	MountainPlateau_03	raw	238, 200	2,3,4,5	0.4, 0.49	-35	10	false	0	add
MountainPlateau_04	MountainPlateau_04	raw	203, 168	2,3,4,5	0.3, 0.49	-35	10	false	0	add
MountainPlateau_05	MountainPlateau_05	raw	450, 300	2,3,4,5	0.3, 0.49	-35	10	false	0	add
